Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
MKU,3.0,182,"Company Culture, Work Life Balance, Promotions / Appraisal",696,7,16,18,--
Danblock Brakes,4.0,182,"Job Security, Work Life Balance",681,10,--,16,--
C-quel Management Services,4.3,181,"Company Culture, Work Life Balance, Job Security",206,13,--,79,--
Laminaar Aviation Infotech,2.6,181,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.1k,17,--,14,3
"L&T Construction, Mining and Industrial Machinery",4.1,181,"Job Security, Skill Development / Learning, Company Culture",364,8,--,91,--
Four Seasons Hotel,3.8,181,"Job Security, Skill Development / Learning",575,7,24,38,--
Ducat,3.4,181,"Promotions / Appraisal, Job Security, Company Culture",633,14,--,5,17
Apollo Spectra Hospitals,4.4,181,"Company Culture, Work Life Balance, Work Satisfaction",470,15,--,15,--
Virinchi Technologies,3.2,181,"Promotions / Appraisal, Work Satisfaction, Company Culture",1.1k,19,4,8,--
CENTRUM HOUSING FINANCE,3.9,182,Work Life Balance,473,4,4,4,--
Meritto,3.4,181,"Company Culture, Work Life Balance, Work Satisfaction",1k,25,13,19,5
Aarav Global Products & Services Private Limited,2.4,181,"Company Culture, Job Security, Work Satisfaction",700,12,3,26,6
Sequretek It Solutions,3.4,181,"Promotions / Appraisal, Work Satisfaction, Job Security",1.1k,11,12,6,5
Invenio Business Solutions,3.4,181,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.5k,10,14,16,6
Ducat,3.4,181,"Promotions / Appraisal, Job Security, Company Culture",633,14,--,5,17
Volante Technologies,3.4,181,"Promotions / Appraisal, Company Culture, Work Life Balance",1.5k,18,2,17,--
Birla Cellulose,3.5,181,"Promotions / Appraisal, Company Culture, Work Life Balance",733,12,--,17,--
Bajaj Markets,3.0,183,"Company Culture, Work Life Balance, Promotions / Appraisal",1.2k,9,4,3,--
Sims Hospital,3.9,181,"Skill Development / Learning, Work Satisfaction, Job Security",822,20,--,12,--
HLE Glascoat,3.2,181,"Promotions / Appraisal, Work Satisfaction, Company Culture",761,7,--,13,--
Apollo Telehealth Services,4.0,181,"Work Life Balance, Salary & Benefits",618,11,215,23,--
Futurism Technologies,3.7,181,"Company Culture, Job Security, Promotions / Appraisal",1.1k,37,27,4,--
WNS Denali,3.5,181,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",776,26,--,6,--
SrinSoft Technologies,3.4,181,"Promotions / Appraisal, Job Security, Work Life Balance",1.1k,17,17,15,--
Inteva Products,3.8,181,Work Life Balance,1.1k,18,--,20,--
Laxmi-Agni Components and Forging,3.4,181,"Promotions / Appraisal, Salary & Benefits, Company Culture",601,13,--,9,3
Three D Integrated Solutions Ltd,2.9,181,"Promotions / Appraisal, Job Security, Company Culture",609,12,21,16,--
Gokul Agro Resources,3.8,181,"Job Security, Work Life Balance, Work Satisfaction",842,15,9,5,--
Ess Kay Group,3.6,181,"Promotions / Appraisal, Company Culture, Job Security",599,13,10,5,5
Innover Digital,3.9,186,"Work Life Balance, Salary & Benefits, Company Culture",718,20,14,9,78
NMTronics India Private Limited,3.2,181,"Work Life Balance, Promotions / Appraisal, Company Culture",449,31,9,11,--
Burman Hospitality,3.8,181,"Company Culture, Salary & Benefits",647,10,10,15,--
Brnd.Me,3.7,181,"Promotions / Appraisal, Work Life Balance, Job Security",818,17,9,2,5
Salasar Techno Engineering,4.2,181,"Job Security, Company Culture, Work Life Balance",872,16,5,10,1
PPMS Field Marketing,3.9,181,"Skill Development / Learning, Work Satisfaction, Company Culture",478,10,--,8,1
Kundan Group,3.2,181,"Promotions / Appraisal, Company Culture, Job Security",612,16,2,1,1
Ambuja Cement Foundation,3.8,180,"Work Life Balance, Skill Development / Learning",472,13,2,11,--
Labtron Equipment,3.5,180,"Promotions / Appraisal, Job Security, Salary & Benefits",289,23,--,1,--
IFB Agro Industries,4.0,180,"Job Security, Work Life Balance",664,8,--,24,--
NHPC,4.1,180,"Job Security, Work Life Balance, Company Culture",475,11,--,24,3
Ghatge Patil Industries,3.8,180,"Work Life Balance, Work Satisfaction, Job Security",878,3,--,5,--
Wepsol,3.5,181,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",802,8,10,11,--
Jai Kisan,3.1,180,"Job Security, Promotions / Appraisal, Company Culture",554,15,--,6,6
Miraj Group,4.1,180,"Company Culture, Work Life Balance, Work Satisfaction",755,12,1,15,3
Timezone Entertainment,3.4,180,"Promotions / Appraisal, Work Life Balance, Job Security",483,11,--,9,--
The Hindu Group,3.9,180,"Work Life Balance, Job Security, Company Culture",895,10,7,15,--
GE Transportation,4.3,180,"Job Security, Work Life Balance, Skill Development / Learning",866,4,40,18,--
The Hindu Group,3.9,180,"Work Life Balance, Job Security, Company Culture",895,10,7,15,--
Shemaroo Entertainment,3.5,180,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",1k,9,5,14,--
GE Transportation,4.3,180,"Job Security, Work Life Balance, Skill Development / Learning",866,4,40,18,--
Delhi World Public School,3.5,181,"Promotions / Appraisal, Company Culture, Job Security",661,17,11,19,3
Indus Motors,4.0,180,"Company Culture, Skill Development / Learning, Work Life Balance",644,3,18,15,--
Jubilant Industries,3.9,180,"Company Culture, Work Life Balance, Work Satisfaction",1.1k,18,--,14,--
Solverminds Solutions and Technologies,3.3,180,"Company Culture, Work Life Balance, Work Satisfaction",1.3k,20,--,6,3
INDIA TODAY GROUP,3.7,180,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.1k,12,--,20,--
Capricorn Logistics,3.6,180,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",695,5,--,9,--
United Nations Development Programme,4.1,180,"Work Life Balance, Company Culture, Work Satisfaction",501,16,2,15,5
Target Engineering Construction Company,4.0,180,"Job Security, Work Life Balance, Salary & Benefits",467,11,--,15,--
Givaudan,4.1,180,"Work Life Balance, Job Security, Company Culture",1k,7,11,32,--
Impresario Entertainment & Hospitality,4.2,180,"Work Life Balance, Work Satisfaction, Skill Development / Learning",620,5,1,23,--
HomeBazaar.com,3.8,180,"Company Culture, Salary & Benefits",628,17,148,11,22
Symed Labs,3.7,180,"Promotions / Appraisal, Company Culture, Skill Development / Learning",630,5,4,13,--
Gameskraft,4.1,181,"Salary & Benefits, Company Culture, Work Life Balance",1.3k,19,19,6,34
Tech Mahindra Foundation,4.1,180,"Work Life Balance, Work Satisfaction, Job Security",542,28,25,30,--
Muthoot Mercantile,3.4,182,"Promotions / Appraisal, Job Security, Salary & Benefits",560,12,2,6,1
Oliva Skin and Hair Clinics,3.8,180,"Job Security, Skill Development / Learning",604,14,9,27,15
Lubrizol Corporation,4.2,180,"Work Life Balance, Company Culture, Job Security",837,8,17,14,--
Dr. Willmar Schwabe India,4.0,180,"Company Culture, Work Life Balance, Salary & Benefits",462,7,1,13,--
Bygging India,3.9,180,"Job Security, Skill Development / Learning, Work Satisfaction",621,14,10,16,5
Essencea Infoserv,2.6,180,"Promotions / Appraisal, Job Security, Salary & Benefits",454,17,2,3,--
Jehangir Hospital,4.0,180,"Job Security, Company Culture",638,8,11,15,--
SSK Group,3.5,179,"Job Security, Promotions / Appraisal, Salary & Benefits",496,5,--,11,--
Ayoki Fabricon,3.7,179,"Promotions / Appraisal, Job Security, Salary & Benefits",700,7,14,13,--
cFIRST,3.7,179,Work Life Balance,628,5,--,38,--
Amtex Systems,2.9,179,"Promotions / Appraisal, Salary & Benefits, Job Security",1.1k,12,10,1,--
Central Institute of Plastics Engineering & Technology,3.8,179,"Promotions / Appraisal, Company Culture, Skill Development / Learning",629,4,--,22,--
Global Hospital Pune India,3.9,179,"Company Culture, Skill Development / Learning, Work Life Balance",536,7,--,28,--
Swelect Energy Systems,3.9,181,"Job Security, Work Life Balance, Skill Development / Learning",492,14,1,8,--
SeQuent Scientific,3.7,179,Work Life Balance,715,3,2,12,--
Corrtech International,3.2,179,"Promotions / Appraisal, Company Culture, Work Satisfaction",694,3,--,7,4
RT Network Solutions,3.4,179,"Promotions / Appraisal, Salary & Benefits, Job Security",599,13,4,11,--
Cex Webuy Entertainment,3.4,179,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",1k,21,9,25,--
Nippon Data Systems,3.7,180,Work Life Balance,1k,25,2,7,--
Inspiredge IT Solutions,3.9,179,"Company Culture, Work Life Balance, Job Security",946,12,16,25,--
Unilog Content Solutions ( P),3.5,179,"Job Security, Promotions / Appraisal, Salary & Benefits",1.2k,17,5,14,--
Oswal Group,3.8,179,Promotions / Appraisal,653,12,3,3,--
Qube Cinema Technologies,3.8,179,"Company Culture, Work Life Balance",780,6,4,19,--
Accurate Engineering Company,3.2,179,"Salary & Benefits, Promotions / Appraisal, Company Culture",884,11,26,17,--
IRIS KPO Resourcing,3.8,179,Work Life Balance,872,15,4,7,30
Icl Fincorp,3.3,179,"Promotions / Appraisal, Work Satisfaction, Job Security",596,22,8,1,7
Air India Express,3.4,179,"Promotions / Appraisal, Company Culture, Salary & Benefits",908,16,9,11,--
Graygraph Technologies Private Limited,4.4,179,"Work Life Balance, Company Culture, Work Satisfaction",587,32,18,2,835
Sagar Hospital,4.2,179,"Company Culture, Work Life Balance, Work Satisfaction",591,6,6,15,--
Jayanita Exports,3.3,179,"Job Security, Promotions / Appraisal, Company Culture",664,17,--,15,2
Phenix Construction Technologies,4.0,179,"Job Security, Work Life Balance, Salary & Benefits",752,16,--,32,--
Ansal Api,3.8,179,"Work Life Balance, Company Culture, Work Satisfaction",453,11,--,10,--
Zen Technologies,3.5,179,"Promotions / Appraisal, Salary & Benefits, Company Culture",810,24,15,10,4
ACUTAAS CHEMICALS LIMITED,3.7,179,Salary & Benefits,1k,15,1,9,--
DSM SOFT,2.9,179,"Salary & Benefits, Promotions / Appraisal, Company Culture",783,11,2,13,--
Hurix Systems,3.6,179,"Promotions / Appraisal, Skill Development / Learning, Job Security",924,18,39,20,--
Gates,3.9,179,"Work Life Balance, Salary & Benefits",920,12,1,21,--
AMBITION JOB,4.1,179,"Salary & Benefits, Company Culture, Work Satisfaction",78,47,--,22,--
GVK Group,3.9,179,Work Life Balance,700,11,--,14,1
Burger Singh,3.6,179,"Promotions / Appraisal, Work Satisfaction, Job Security",535,14,7,3,--
TekisHub Consulting Services,3.9,179,"Company Culture, Work Life Balance, Work Satisfaction",938,23,--,5,--
Talwalkars Better Value Fitness,4.2,178,"Company Culture, Work Life Balance, Skill Development / Learning",438,6,--,30,--
CR Asia,4.1,178,"Skill Development / Learning, Work Satisfaction, Job Security",637,11,--,33,--
Swal Corporation,4.2,178,"Skill Development / Learning, Work Life Balance, Company Culture",334,9,--,10,--
Overseas Health Care,3.1,178,"Job Security, Promotions / Appraisal, Work Satisfaction",440,14,--,13,--
SPIE Oil & Gas Services,4.3,178,"Work Life Balance, Salary & Benefits, Company Culture",265,9,--,22,--
CR Asia,4.1,178,"Skill Development / Learning, Work Satisfaction, Job Security",637,11,--,33,--
Kapil Chit Funds,4.0,178,"Company Culture, Work Life Balance, Skill Development / Learning",364,4,--,18,--
Steadfast Medishield,4.0,178,"Salary & Benefits, Company Culture, Work Satisfaction",392,18,1,38,4
Nippon Konpo,4.0,178,"Work Life Balance, Job Security, Company Culture",507,9,--,12,--
Sigma Supply Chain Solutions,3.4,178,"Promotions / Appraisal, Job Security, Company Culture",443,4,--,8,--
S kant Healthcare Ltd,4.7,178,"Work Life Balance, Job Security, Company Culture",466,8,4,8,16
Gpt Infraprojects,3.8,178,"Promotions / Appraisal, Work Life Balance",539,6,--,11,--
Experion Developers,4.7,179,"Company Culture, Work Life Balance, Job Security",589,5,--,10,--
Intense Technologies,3.6,178,"Promotions / Appraisal, Salary & Benefits",1.2k,12,1,18,--
MEP Infrastructure Developers,3.6,178,"Promotions / Appraisal, Company Culture, Work Satisfaction",872,11,16,18,--
OneBanc Technologies,4.8,178,"Company Culture, Job Security, Promotions / Appraisal",205,40,3,12,20
Axa Parenterals,3.7,178,"Promotions / Appraisal, Salary & Benefits",726,18,--,17,--
Zeon Lifesciences,4.0,178,"Work Life Balance, Work Satisfaction, Job Security",678,39,4,13,2
Diksha Technologies,3.2,178,"Promotions / Appraisal, Company Culture, Job Security",823,5,11,38,--
Jarvis Technology and Strategy Consulting,3.4,178,"Job Security, Promotions / Appraisal, Work Life Balance",772,22,1,7,3
Relyon Softech,3.9,178,"Job Security, Work Life Balance",895,18,2,20,--
Afflatus Gravures,3.8,178,"Promotions / Appraisal, Skill Development / Learning",682,16,5,13,7
Bambino Agro Industries,4.0,178,"Work Life Balance, Company Culture, Job Security",746,7,2,17,--
Leena Powertech Engineers,3.6,178,Salary & Benefits,523,9,2,6,1
Fabtech Projects & Engineers,3.9,178,"Work Life Balance, Work Satisfaction, Skill Development / Learning",774,14,2,10,--
Hotel Parle International,3.8,178,"Skill Development / Learning, Salary & Benefits",821,11,1,1,--
The Pride Hotel,3.2,178,"Promotions / Appraisal, Work Satisfaction, Company Culture",673,8,32,20,--
DesiCrew Solutions,3.2,178,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",670,12,28,9,--
Diksha Technologies,3.2,178,"Promotions / Appraisal, Company Culture, Job Security",823,5,11,38,--
Raptim Research,4.4,178,"Work Life Balance, Job Security, Company Culture",931,14,--,15,--
Truemeds,3.5,178,"Promotions / Appraisal, Company Culture, Job Security",798,21,90,2,1
Sulphur Mills,3.8,178,Work Life Balance,809,13,2,21,5
Lalitpur Power Generation,4.3,178,"Job Security, Work Life Balance, Work Satisfaction",598,9,--,13,1
Afflatus Gravures,3.8,178,"Promotions / Appraisal, Skill Development / Learning",682,16,5,13,7
Relyon Softech,3.9,178,"Job Security, Work Life Balance",895,18,2,20,--
DESIGNCO,4.0,178,"Skill Development / Learning, Work Life Balance",721,14,15,13,--
alliantgroup,2.1,179,"Company Culture, Work Satisfaction, Job Security",911,23,--,8,--
Lithium Urban Technologies,3.6,178,"Promotions / Appraisal, Company Culture, Work Satisfaction",661,9,1,5,7
insightsoftware,3.7,179,Work Life Balance,920,30,8,2,16
MSL Driveline Systems,4.2,178,"Work Satisfaction, Skill Development / Learning, Work Life Balance",621,3,--,14,2
Compuage Infocom,4.1,177,"Company Culture, Work Life Balance, Work Satisfaction",846,9,8,19,--
Matrix Cellular Services,4.0,177,"Skill Development / Learning, Salary & Benefits",453,2,--,18,--
SYNCHRONIZED SUPPLY SYSTEMS,4.0,177,"Company Culture, Work Life Balance, Work Satisfaction",611,10,--,19,10
Target Publications,3.7,177,"Salary & Benefits, Skill Development / Learning",305,15,13,6,3
Collage,4.2,177,"Work Life Balance, Work Satisfaction, Company Culture",435,17,--,9,--
AIG,3.9,177,"Work Life Balance, Job Security",1k,10,2,34,11
Hitek Syndicate,3.6,177,"Salary & Benefits, Company Culture, Work Satisfaction",425,8,--,6,--
Jaslok Hospital and Research Centre,4.1,177,"Work Life Balance, Job Security",719,9,8,18,--
Jagatjit Industries,3.6,177,"Promotions / Appraisal, Job Security, Salary & Benefits",585,6,--,14,6
Stedman Pharmaceuticals,4.0,177,"Skill Development / Learning, Work Life Balance, Company Culture",330,18,3,28,12
Tata Memorial Hospital,4.2,177,"Skill Development / Learning, Work Life Balance, Work Satisfaction",616,10,--,18,2
U.S. Polo Assn,4.3,177,"Work Life Balance, Work Satisfaction, Salary & Benefits",479,8,--,16,--
Macmet Engineering,3.9,177,"Job Security, Work Satisfaction",629,11,1,20,--
OneAdvanced,3.0,177,Work Life Balance,1k,19,15,1,10
Prgx India,3.4,177,Work Life Balance,1.2k,14,57,21,--
Wintax Solution,4.8,177,"Work Life Balance, Job Security, Skill Development / Learning",26,4,--,114,2
Privi Speciality Chemicals,3.9,177,Job Security,826,21,5,11,--
Ecolab Digital Center,3.5,177,Work Life Balance,1.5k,24,--,8,--
Hyderabad Metro Rail,4.0,177,"Job Security, Work Life Balance, Skill Development / Learning",509,11,--,22,--
Reliance Corporate IT Park,4.0,177,"Company Culture, Job Security, Skill Development / Learning",663,7,--,17,2
Fangs Technology,4.1,177,"Skill Development / Learning, Job Security, Company Culture",730,6,--,17,--
Kamdhenu,3.7,177,Work Life Balance,541,9,3,16,--
Cadworks India,4.8,177,"Company Culture, Work Life Balance, Work Satisfaction",59,5,--,6,--
Bharat Benz,4.2,177,"Skill Development / Learning, Company Culture, Work Life Balance",535,9,--,24,1
Panchshil Realty,4.3,177,"Work Life Balance, Job Security, Company Culture",881,12,--,14,--
Swipewire Technologies,3.7,177,Salary & Benefits,967,21,--,4,1
Reliance Smart Point,4.2,177,"Company Culture, Skill Development / Learning, Work Life Balance",410,19,--,9,1
ANEWA Engineering,3.7,177,Job Security,944,4,--,15,--
Healthplix Technologies,3.0,177,"Job Security, Promotions / Appraisal, Company Culture",1.1k,28,12,15,--
Paychex IT Solutions India,3.4,177,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",971,27,17,5,4
Don Bosco Tech Society,4.0,177,"Skill Development / Learning, Work Life Balance",331,11,10,25,1
Allset Business Solutions,3.8,177,Promotions / Appraisal,901,15,--,7,--
Cipla Industries,3.9,177,Job Security,712,12,--,30,1
LiquidHub,3.6,176,"Work Life Balance, Job Security",761,14,--,31,--
Vrinsoft Technology,4.6,176,"Company Culture, Skill Development / Learning, Work Life Balance",220,25,10,7,--
ShopX,4.4,176,"Company Culture, Work Satisfaction, Skill Development / Learning",747,1,--,23,--
Escorts Construction Equipment,4.0,176,"Company Culture, Skill Development / Learning",685,8,--,28,1
L&T Buildings & Factories,3.8,176,"Job Security, Skill Development / Learning",148,8,--,94,--
Ashish Life Science,3.7,176,Salary & Benefits,560,15,9,53,2
Swaraj Engines,3.7,176,"Promotions / Appraisal, Salary & Benefits",547,10,--,14,--
American InfoSource,3.4,176,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",833,15,19,15,--
Minda Stoneridge Instruments,3.4,176,"Company Culture, Work Life Balance, Promotions / Appraisal",895,17,--,5,--
Architect Hafeez Contractor,3.1,176,"Work Life Balance, Promotions / Appraisal, Company Culture",477,12,--,9,--
American InfoSource,3.4,176,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",833,15,19,15,--
Ashish Life Science,3.7,176,Salary & Benefits,560,15,9,53,2
Swaraj Engines,3.7,176,"Promotions / Appraisal, Salary & Benefits",547,10,--,14,--
Minda Stoneridge Instruments,3.4,176,"Company Culture, Work Life Balance, Promotions / Appraisal",895,17,--,5,--
Kyb Motorcycle Suspension,3.7,176,Salary & Benefits,545,15,--,14,--
KayBee Bio Organics,3.7,176,"Promotions / Appraisal, Skill Development / Learning",332,27,14,2,2
Wibmo,3.2,176,"Promotions / Appraisal, Job Security, Company Culture",1.1k,7,--,10,--
Kolors Healthcare,3.6,176,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",661,16,6,9,1
Monomark Engineering,4.1,176,"Work Life Balance, Job Security, Skill Development / Learning",609,13,12,13,--
Radiant Appliances,4.1,176,"Work Life Balance, Company Culture",694,13,--,16,--
AMS Comtel BPMS,3.2,176,"Promotions / Appraisal, Salary & Benefits, Company Culture",696,10,6,11,5
Tropilite Foods,3.6,176,"Promotions / Appraisal, Work Satisfaction, Company Culture",555,13,7,13,--
Wellspring Healthcare,2.9,176,"Promotions / Appraisal, Company Culture, Salary & Benefits",485,7,--,18,4
Donear Industries,3.2,176,"Promotions / Appraisal, Company Culture, Salary & Benefits",802,8,--,7,--
"Webasto Roofsystems India Pvt Ltd,",3.8,176,"Company Culture, Work Life Balance, Skill Development / Learning",833,15,--,7,--
Monginis Foods,3.6,176,"Promotions / Appraisal, Company Culture, Work Satisfaction",667,8,--,19,--
Pegasus InfoCorp,2.9,176,"Job Security, Company Culture, Skill Development / Learning",1k,18,7,16,--
Agrim,3.2,177,"Job Security, Promotions / Appraisal, Work Life Balance",715,22,21,6,5
ABT Maruti,3.9,176,"Job Security, Skill Development / Learning",731,3,3,11,9
Elsevier,3.8,176,"Work Life Balance, Company Culture",1.2k,23,64,13,31
Gunnebo,3.8,176,"Job Security, Company Culture",763,12,--,15,--
General Industrial Controls,3.6,176,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",1k,10,11,6,5
Hindustan Platinum,3.6,176,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",1.1k,20,8,15,--
Techugo,3.7,176,Skill Development / Learning,459,15,11,6,2
Zenoti,2.9,176,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",1.4k,49,60,20,--
Cinda Engineering & Construction,4.1,176,"Work Life Balance, Company Culture, Salary & Benefits",722,15,--,9,1
Naresh i Technologies,3.9,176,"Skill Development / Learning, Work Satisfaction, Work Life Balance",640,14,3,6,--
Anytime Fitness,3.5,176,"Job Security, Promotions / Appraisal, Salary & Benefits",707,13,128,11,--
Infibeam Avenues,3.3,176,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.3k,12,10,4,--
GoMechanic,3.3,176,"Job Security, Promotions / Appraisal, Company Culture",2k,54,5,25,1
MSV International,3.7,176,"Promotions / Appraisal, Job Security, Skill Development / Learning",484,13,14,10,--
Applus Velosi,3.6,176,"Promotions / Appraisal, Job Security, Company Culture",405,8,--,23,--
Starworth Infrastructure Construction,3.7,176,Salary & Benefits,728,13,7,7,--
Accurate Global Alliances,4.7,176,"Company Culture, Work Life Balance, Work Satisfaction",59,10,--,2,--
Crescon Projects & Services,3.7,176,Salary & Benefits,664,14,5,9,--
Presidency University,2.6,175,"Promotions / Appraisal, Company Culture, Job Security",728,12,--,15,--
Apis India Limited,3.6,175,"Company Culture, Job Security, Promotions / Appraisal",693,10,--,11,--
Poonawalla Finance,3.7,175,"Promotions / Appraisal, Job Security, Company Culture",975,6,--,9,--
Geno Pharmaceuticals,2.9,175,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",448,16,--,13,--
Vikas Money,4.7,176,"Company Culture, Work Life Balance, Work Satisfaction",52,13,--,1,--
Vmoksha Technologies,4.4,175,"Work Life Balance, Work Satisfaction, Skill Development / Learning",516,24,--,6,--
Xrbia Developers,2.8,175,"Job Security, Promotions / Appraisal, Company Culture",862,8,--,11,--
Vestian Global Workplace Services,3.3,175,"Promotions / Appraisal, Work Life Balance, Skill Development / Learning",778,6,10,9,9
River Engineering,3.4,175,"Promotions / Appraisal, Salary & Benefits, Company Culture",830,9,--,18,--
MaxVal Group,3.3,175,"Promotions / Appraisal, Work Satisfaction, Job Security",981,22,2,9,12
PP Rolling Mills,3.5,175,"Work Satisfaction, Company Culture, Work Life Balance",821,10,5,5,--
Shankar Packagings,2.6,175,"Company Culture, Job Security, Promotions / Appraisal",816,10,--,11,--
Goibibo,4.4,175,"Company Culture, Job Security, Work Life Balance",819,6,18,20,--
National Aerospace Laboratories,4.3,175,"Skill Development / Learning, Work Life Balance, Work Satisfaction",787,14,--,27,--
Shakti Hormann,3.6,175,"Promotions / Appraisal, Skill Development / Learning, Company Culture",644,19,11,13,1
Godrej Tyson Food,4.0,175,"Work Life Balance, Salary & Benefits",700,11,--,14,--
IntelliSmart Infrastructure,3.5,177,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",664,13,6,4,3
Ilensys Technologies,4.1,175,"Company Culture, Work Life Balance, Job Security",1.1k,27,25,8,--
Som Projects (S.P.L),3.8,175,Work Life Balance,605,16,4,9,5
Tractor Junction,3.8,175,Promotions / Appraisal,424,14,9,1,16
Gainwell Technologies,4.0,175,"Work Life Balance, Job Security, Company Culture",1.5k,29,22,10,7
CTR Manufacturing Industries,3.7,175,Job Security,811,13,55,9,1
NMDC Steels,3.8,175,"Work Life Balance, Salary & Benefits",560,8,--,3,5
Vehere Technologies,4.4,177,"Job Security, Company Culture, Work Life Balance",292,22,20,9,1
University Living Accommodation,3.9,175,Promotions / Appraisal,498,22,25,1,22
TechMojo Solutions,4.0,175,"Job Security, Salary & Benefits, Work Satisfaction",1.3k,33,13,9,5
Eros Group,4.1,175,"Work Life Balance, Company Culture, Work Satisfaction",704,16,5,19,19
Mitsuba,3.7,175,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",708,5,--,17,--
SmartSchool Education,4.6,175,"Company Culture, Work Life Balance, Work Satisfaction",427,39,4,49,--
Dr B Lal Clinical Laboratory,4.1,175,"Skill Development / Learning, Company Culture, Work Life Balance",397,10,9,20,8
Radix Electrosystems,3.5,175,"Promotions / Appraisal, Skill Development / Learning, Company Culture",771,16,7,8,--
Arvind Smartspaces Limited,3.6,175,Salary & Benefits,630,14,--,11,--
Groupe Seb,3.3,175,"Job Security, Promotions / Appraisal, Skill Development / Learning",723,10,--,15,--
Mangal Industries,3.9,175,"Job Security, Skill Development / Learning, Company Culture",719,9,--,11,--
Goel Ganga Group,3.4,175,"Company Culture, Work Satisfaction, Promotions / Appraisal",639,11,6,27,--
Denso Ten Minda India,4.1,175,"Job Security, Company Culture, Work Life Balance",728,14,--,11,--
Auto Ignition,3.6,175,"Promotions / Appraisal, Salary & Benefits, Company Culture",633,7,1,19,--
Kaff Appliances (india),3.2,174,"Promotions / Appraisal, Company Culture, Job Security",643,11,--,11,--
Market Xcel Data Matrix,2.7,174,"Job Security, Promotions / Appraisal, Company Culture",608,12,1,9,--
Keihin India Manufacturing,4.4,174,"Company Culture, Skill Development / Learning, Work Satisfaction",621,5,--,31,--
Ghv India,4.3,174,"Work Life Balance, Company Culture, Work Satisfaction",668,6,--,13,--
Cyient DLM,3.9,174,"Work Life Balance, Job Security",770,10,--,10,2
SEForge,3.4,174,"Promotions / Appraisal, Job Security, Salary & Benefits",853,7,--,14,--
Pan Gulf Technologies,4.0,174,"Company Culture, Job Security, Work Satisfaction",815,14,14,14,--
Market Xcel Data Matrix,2.7,174,"Job Security, Promotions / Appraisal, Company Culture",608,12,1,9,--
Mangalam Landmarks,4.7,174,"Company Culture, Job Security, Skill Development / Learning",126,82,14,1,--
Ultra Engineers,4.1,175,"Company Culture, Job Security, Work Satisfaction",862,12,--,19,--
Bentley Systems,4.3,174,"Work Life Balance, Company Culture, Work Satisfaction",1.3k,21,13,26,14
Ravi Foods,3.8,174,"Promotions / Appraisal, Job Security",581,9,--,18,--
Blue Tokai Coffee Roasters,3.9,175,"Work Life Balance, Salary & Benefits",601,7,7,15,1
Indian School of Business,3.3,174,"Promotions / Appraisal, Salary & Benefits, Company Culture",979,11,9,13,--
Mansukh Securities & Finance,3.2,174,"Salary & Benefits, Promotions / Appraisal, Job Security",754,23,4,6,--
Eicher Trucks and Buses,4.5,174,"Company Culture, Work Satisfaction, Job Security",501,11,--,25,1
Ginger Webs,2.7,174,"Promotions / Appraisal, Job Security, Company Culture",987,17,3,8,--
Creative Group,4.1,174,"Work Life Balance, Work Satisfaction, Job Security",705,19,--,4,13
iNeuron.ai,4.1,174,"Work Life Balance, Skill Development / Learning, Company Culture",772,17,1,27,--
Emversity,4.0,174,"Skill Development / Learning, Company Culture, Work Life Balance",165,52,1,2,18
Polyplastics,3.7,174,Job Security,801,4,--,9,--
Lakme Salon,4.0,174,"Work Satisfaction, Skill Development / Learning, Company Culture",452,12,--,14,--
SAT n paper,4.4,175,"Company Culture, Skill Development / Learning, Work Satisfaction",123,17,1,2,--
Divgi Torqtransfer Systems,3.2,174,"Promotions / Appraisal, Salary & Benefits, Company Culture",787,10,--,12,--
Kent,3.5,174,"Promotions / Appraisal, Job Security, Company Culture",705,6,--,6,2
Aster MIMS,4.4,174,"Company Culture, Job Security, Skill Development / Learning",747,9,--,14,--
Crif Solutions,3.3,174,"Promotions / Appraisal, Company Culture, Work Life Balance",1.2k,22,--,16,--
Republic TV,2.9,174,"Company Culture, Work Life Balance, Work Satisfaction",770,18,2,6,--
