Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
Reliance Nippon Life Insurance,3.4,3.3k,"Job Security, Company Culture, Work Satisfaction",8.4k,162,1,229,13
Ceat Tyres,3.9,3.3k,"Job Security, Company Culture, Skill Development / Learning",12.9k,206,10,346,6
RSPL Group,4.0,3.3k,"Job Security, Work Life Balance, Company Culture",9.4k,244,31,293,8
ABB,4.1,3.3k,"Work Life Balance, Job Security, Company Culture",17.6k,282,412,346,5
HARMAN,3.8,3.3k,Work Life Balance,24k,288,102,100,3
Cloudnine Hospital,4.4,3.3k,"Skill Development / Learning, Company Culture, Work Life Balance",2.9k,971,6,78,5
Indian Air Force,4.5,3.2k,"Job Security, Skill Development / Learning, Salary & Benefits",5.3k,78,--,354,--
AGS Health,4.0,3.2k,"Company Culture, Job Security, Work Life Balance",14.1k,205,23,272,--
Barclays,3.7,3.2k,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",30.7k,306,--,253,27
NatWest Group,4.0,3.2k,"Work Life Balance, Job Security, Company Culture",20.6k,233,175,362,9
Blinkit,3.7,3.2k,Salary & Benefits,12.2k,306,--,202,24
InterGlobe Aviation,3.5,3.2k,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",13.5k,366,102,315,5
TVS Credit Services Ltd,4.2,3.2k,"Company Culture, Salary & Benefits, Work Life Balance",7.4k,151,28,196,4
Conduent,3.4,3.2k,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",16.8k,224,266,366,11
Alstom Transportation,3.7,3.2k,Job Security,14.7k,275,366,173,8
Marpu Foundation,4.9,3.2k,"Company Culture, Work Life Balance, Work Satisfaction",61,256,--,8,5
